Frame,Z1,Z2,Delta_Z,Abs_Delta_Z
1,66.85,56.99,-9.859999999999992,9.859999999999992
2,67.55,57.1,-10.449999999999996,10.449999999999996
3,67.52,57.66,-9.86,9.86
4,67.73,57.52,-10.21,10.21
5,67.27,57.32,-9.949999999999996,9.949999999999996
6,67.21,57.51,-9.699999999999996,9.699999999999996
7,67.54,57.61,-9.930000000000007,9.930000000000007
8,67.47,57.38,-10.089999999999996,10.089999999999996
9,67.3,56.77,-10.529999999999994,10.529999999999994
10,66.79,57.1,-9.690000000000005,9.690000000000005
11,67.08,57.24,-9.839999999999996,9.839999999999996
12,66.2,56.91,-9.290000000000006,9.290000000000006
13,65.76,56.25,-9.510000000000005,9.510000000000005
14,66.37,56.57,-9.800000000000004,9.800000000000004
15,66.33,57.12,-9.21,9.21
16,66.81,57.09,-9.719999999999999,9.719999999999999
17,66.72,56.87,-9.850000000000001,9.850000000000001
18,67.02,57.1,-9.919999999999995,9.919999999999995
19,66.21,57.22,-8.989999999999995,8.989999999999995
20,66.88,57.11,-9.769999999999996,9.769999999999996
21,66.87,56.79,-10.080000000000005,10.080000000000005
22,66.43,56.74,-9.690000000000005,9.690000000000005
23,67.18,56.83,-10.350000000000009,10.350000000000009
24,67.06,56.07,-10.990000000000002,10.990000000000002
25,66.92,57.05,-9.870000000000005,9.870000000000005
26,67.16,56.56,-10.599999999999994,10.599999999999994
27,66.86,56.66,-10.200000000000003,10.200000000000003
28,67.37,57.21,-10.160000000000004,10.160000000000004
29,66.67,56.49,-10.18,10.18
30,67.08,57.07,-10.009999999999998,10.009999999999998
31,66.94,56.39,-10.549999999999997,10.549999999999997
32,67.26,57.5,-9.760000000000005,9.760000000000005
33,66.65,57.66,-8.990000000000009,8.990000000000009
34,66.92,57.32,-9.600000000000001,9.600000000000001
35,66.33,56.65,-9.68,9.68
36,67.13,57.01,-10.119999999999997,10.119999999999997
37,67.73,57.92,-9.810000000000002,9.810000000000002
38,66.56,57.92,-8.64,8.64
39,67.1,57.73,-9.369999999999997,9.369999999999997
40,66.63,57.23,-9.399999999999999,9.399999999999999
41,67.0,57.1,-9.899999999999999,9.899999999999999
42,66.46,56.79,-9.669999999999995,9.669999999999995
43,67.09,57.14,-9.950000000000003,9.950000000000003
44,66.93,57.06,-9.870000000000005,9.870000000000005
45,66.31,57.38,-8.93,8.93
46,66.78,56.9,-9.880000000000003,9.880000000000003
47,66.61,57.11,-9.5,9.5
48,66.08,57.21,-8.869999999999997,8.869999999999997
49,65.65,57.23,-8.420000000000009,8.420000000000009
50,66.5,57.61,-8.89,8.89
51,66.78,57.24,-9.54,9.54
52,66.48,57.51,-8.970000000000006,8.970000000000006
53,66.68,57.16,-9.52000000000001,9.52000000000001
54,66.62,56.81,-9.810000000000002,9.810000000000002
55,66.57,56.7,-9.86999999999999,9.86999999999999
56,66.83,56.88,-9.949999999999996,9.949999999999996
57,66.66,56.18,-10.479999999999997,10.479999999999997
58,66.44,56.98,-9.46,9.46
59,67.96,56.46,-11.499999999999993,11.499999999999993
60,67.33,56.9,-10.43,10.43
61,67.62,56.98,-10.640000000000008,10.640000000000008
62,67.02,57.08,-9.939999999999998,9.939999999999998
63,67.2,56.73,-10.470000000000006,10.470000000000006
64,67.51,56.57,-10.940000000000005,10.940000000000005
65,67.63,57.33,-10.299999999999997,10.299999999999997
66,67.12,57.17,-9.950000000000003,9.950000000000003
67,67.3,56.85,-10.449999999999996,10.449999999999996
68,67.39,56.66,-10.730000000000004,10.730000000000004
69,66.64,56.59,-10.049999999999997,10.049999999999997
70,67.17,56.89,-10.280000000000001,10.280000000000001
71,67.6,56.73,-10.869999999999997,10.869999999999997
72,68.25,56.81,-11.439999999999998,11.439999999999998
73,66.98,57.1,-9.880000000000003,9.880000000000003
74,67.18,56.93,-10.250000000000007,10.250000000000007
75,68.05,56.89,-11.159999999999997,11.159999999999997
76,68.16,57.3,-10.86,10.86
77,68.08,57.29,-10.79,10.79
78,68.1,57.17,-10.929999999999993,10.929999999999993
79,66.86,56.95,-9.909999999999997,9.909999999999997
80,67.81,57.2,-10.61,10.61
81,67.63,56.82,-10.809999999999995,10.809999999999995
82,68.21,57.08,-11.129999999999995,11.129999999999995
83,66.92,56.31,-10.61,10.61
84,66.77,56.82,-9.949999999999996,9.949999999999996
85,66.91,57.24,-9.669999999999995,9.669999999999995
86,67.26,57.38,-9.880000000000003,9.880000000000003
87,67.88,57.22,-10.659999999999997,10.659999999999997
88,67.23,57.04,-10.190000000000005,10.190000000000005
89,66.97,56.55,-10.420000000000002,10.420000000000002
90,67.1,57.09,-10.009999999999991,10.009999999999991
91,67.65,57.05,-10.600000000000009,10.600000000000009
92,68.13,57.33,-10.799999999999997,10.799999999999997
93,66.98,57.21,-9.770000000000003,9.770000000000003
94,67.52,57.05,-10.469999999999999,10.469999999999999
95,67.24,57.09,-10.149999999999991,10.149999999999991
96,68.08,57.86,-10.219999999999999,10.219999999999999
97,67.22,57.32,-9.899999999999999,9.899999999999999
98,68.37,57.67,-10.700000000000003,10.700000000000003
99,68.64,58.1,-10.54,10.54
100,67.95,58.03,-9.920000000000002,9.920000000000002
101,68.84,58.54,-10.300000000000004,10.300000000000004
102,67.89,58.52,-9.369999999999997,9.369999999999997
103,67.77,58.37,-9.399999999999999,9.399999999999999
104,68.53,58.48,-10.050000000000004,10.050000000000004
105,68.6,58.21,-10.389999999999993,10.389999999999993
106,67.48,58.16,-9.320000000000007,9.320000000000007
107,68.52,58.1,-10.419999999999995,10.419999999999995
108,68.11,58.65,-9.46,9.46
109,68.07,58.12,-9.949999999999996,9.949999999999996
110,67.86,58.16,-9.700000000000003,9.700000000000003
111,67.67,58.27,-9.399999999999999,9.399999999999999
112,67.95,58.02,-9.93,9.93
113,68.59,58.68,-9.910000000000004,9.910000000000004
114,67.57,58.01,-9.559999999999995,9.559999999999995
115,67.21,57.42,-9.789999999999992,9.789999999999992
116,67.49,58.4,-9.089999999999996,9.089999999999996
