Frame,Z1,Z2,Delta_Z,Abs_Delta_Z
1,70.84,70.35,-0.4900000000000091,0.4900000000000091
2,70.9,70.74,-0.1600000000000108,0.1600000000000108
3,70.8,70.35,-0.45000000000000284,0.45000000000000284
4,71.51,71.37,-0.14000000000000057,0.14000000000000057
5,71.0,70.85,-0.15000000000000568,0.15000000000000568
6,71.64,70.44,-1.2000000000000028,1.2000000000000028
7,70.51,70.97,0.45999999999999375,0.45999999999999375
8,70.98,70.54,-0.4399999999999977,0.4399999999999977
9,70.69,70.53,-0.1599999999999966,0.1599999999999966
10,71.12,70.64,-0.480000000000004,0.480000000000004
11,70.11,70.79,0.6800000000000068,0.6800000000000068
12,71.02,70.09,-0.9299999999999926,0.9299999999999926
13,71.66,70.95,-0.7099999999999937,0.7099999999999937
14,71.0,71.02,0.01999999999999602,0.01999999999999602
15,71.23,70.75,-0.480000000000004,0.480000000000004
16,71.13,70.65,-0.47999999999998977,0.47999999999998977
17,70.7,71.03,0.3299999999999983,0.3299999999999983
18,69.92,70.57,0.6499999999999915,0.6499999999999915
19,70.68,71.29,0.6099999999999994,0.6099999999999994
20,70.11,70.83,0.7199999999999989,0.7199999999999989
21,70.17,70.69,0.519999999999996,0.519999999999996
22,70.08,71.28,1.2000000000000028,1.2000000000000028
23,69.79,71.16,1.3699999999999903,1.3699999999999903
24,70.24,71.16,0.9200000000000017,0.9200000000000017
25,70.83,71.0,0.1700000000000017,0.1700000000000017
26,71.15,70.98,-0.1700000000000017,0.1700000000000017
27,71.3,71.29,-0.009999999999990905,0.009999999999990905
28,71.34,70.66,-0.6800000000000068,0.6800000000000068
29,71.08,70.58,-0.5,0.5
30,71.34,70.94,-0.4000000000000057,0.4000000000000057
31,70.48,70.72,0.23999999999999488,0.23999999999999488
32,71.19,71.11,-0.0799999999999983,0.0799999999999983
33,70.15,71.39,1.2399999999999949,1.2399999999999949
34,70.87,71.07,0.19999999999998863,0.19999999999998863
35,70.38,71.29,0.9100000000000108,0.9100000000000108
36,70.86,71.03,0.1700000000000017,0.1700000000000017
37,71.33,70.69,-0.6400000000000006,0.6400000000000006
38,70.41,71.1,0.6899999999999977,0.6899999999999977
39,70.34,71.44,1.0999999999999943,1.0999999999999943
40,69.85,71.36,1.5100000000000051,1.5100000000000051
41,70.19,71.15,0.960000000000008,0.960000000000008
42,71.0,71.01,0.010000000000005116,0.010000000000005116
43,70.48,71.04,0.5600000000000023,0.5600000000000023
44,70.96,71.36,0.4000000000000057,0.4000000000000057
45,71.08,70.8,-0.28000000000000114,0.28000000000000114
46,70.67,70.36,-0.3100000000000023,0.3100000000000023
47,70.83,70.92,0.09000000000000341,0.09000000000000341
48,71.06,70.87,-0.18999999999999773,0.18999999999999773
49,70.22,70.75,0.5300000000000011,0.5300000000000011
50,70.78,70.7,-0.0799999999999983,0.0799999999999983
51,70.21,70.41,0.20000000000000284,0.20000000000000284
52,71.27,71.3,0.030000000000001137,0.030000000000001137
53,70.96,71.11,0.15000000000000568,0.15000000000000568
54,70.6,70.5,-0.09999999999999432,0.09999999999999432
55,70.84,71.05,0.20999999999999375,0.20999999999999375
56,70.43,71.34,0.9099999999999966,0.9099999999999966
57,70.89,70.86,-0.030000000000001137,0.030000000000001137
58,70.6,70.76,0.1600000000000108,0.1600000000000108
59,69.95,70.92,0.9699999999999989,0.9699999999999989
60,70.24,70.96,0.7199999999999989,0.7199999999999989
61,70.4,70.99,0.5899999999999892,0.5899999999999892
62,70.76,70.63,-0.13000000000000966,0.13000000000000966
63,70.34,71.09,0.75,0.75
64,70.68,70.83,0.14999999999999147,0.14999999999999147
65,70.79,70.87,0.0799999999999983,0.0799999999999983
66,70.09,70.81,0.7199999999999989,0.7199999999999989
67,70.06,70.66,0.5999999999999943,0.5999999999999943
68,70.64,70.75,0.10999999999999943,0.10999999999999943
69,70.31,70.55,0.23999999999999488,0.23999999999999488
70,70.17,70.96,0.789999999999992,0.789999999999992
71,70.73,71.29,0.5600000000000023,0.5600000000000023
72,69.72,71.0,1.2800000000000011,1.2800000000000011
73,70.82,71.53,0.710000000000008,0.710000000000008
74,70.03,71.28,1.25,1.25
75,69.91,70.89,0.980000000000004,0.980000000000004
76,70.54,70.94,0.3999999999999915,0.3999999999999915
77,70.14,70.45,0.3100000000000023,0.3100000000000023
78,70.42,70.61,0.18999999999999773,0.18999999999999773
79,69.93,70.99,1.059999999999988,1.059999999999988
80,70.46,71.21,0.75,0.75
81,70.23,71.19,0.9599999999999937,0.9599999999999937
82,70.12,71.22,1.0999999999999943,1.0999999999999943
83,70.19,71.25,1.0600000000000023,1.0600000000000023
84,70.53,70.71,0.1799999999999926,0.1799999999999926
85,70.81,71.2,0.39000000000000057,0.39000000000000057
86,70.13,71.1,0.9699999999999989,0.9699999999999989
87,70.58,71.4,0.8200000000000074,0.8200000000000074
88,71.2,70.86,-0.3400000000000034,0.3400000000000034
89,70.75,70.63,-0.12000000000000455,0.12000000000000455
90,70.22,70.62,0.4000000000000057,0.4000000000000057
91,69.94,70.42,0.480000000000004,0.480000000000004
92,70.45,70.71,0.2599999999999909,0.2599999999999909
93,71.1,70.78,-0.3199999999999932,0.3199999999999932
94,70.34,70.68,0.3400000000000034,0.3400000000000034
95,70.73,70.99,0.2599999999999909,0.2599999999999909
96,69.98,70.32,0.3399999999999892,0.3399999999999892
97,70.22,70.74,0.519999999999996,0.519999999999996
98,70.21,70.82,0.6099999999999994,0.6099999999999994
99,70.2,70.8,0.5999999999999943,0.5999999999999943
100,70.87,70.51,-0.35999999999999943,0.35999999999999943
101,71.06,71.01,-0.04999999999999716,0.04999999999999716
102,70.38,71.09,0.710000000000008,0.710000000000008
103,70.29,70.7,0.4099999999999966,0.4099999999999966
104,70.76,71.09,0.3299999999999983,0.3299999999999983
105,70.81,70.58,-0.23000000000000398,0.23000000000000398
106,71.08,71.15,0.07000000000000739,0.07000000000000739
107,70.48,71.11,0.6299999999999955,0.6299999999999955
108,70.8,71.02,0.21999999999999886,0.21999999999999886
109,70.44,70.7,0.2600000000000051,0.2600000000000051
110,70.35,70.18,-0.1699999999999875,0.1699999999999875
111,70.27,70.92,0.6500000000000057,0.6500000000000057
112,70.96,70.43,-0.5299999999999869,0.5299999999999869
113,70.95,71.05,0.09999999999999432,0.09999999999999432
114,70.64,71.36,0.7199999999999989,0.7199999999999989
115,70.66,70.99,0.3299999999999983,0.3299999999999983
116,70.76,70.87,0.10999999999999943,0.10999999999999943
117,71.01,71.07,0.05999999999998806,0.05999999999998806
118,71.05,70.66,-0.39000000000000057,0.39000000000000057
119,69.95,70.7,0.75,0.75
120,71.3,71.09,-0.20999999999999375,0.20999999999999375
121,70.73,71.01,0.28000000000000114,0.28000000000000114
122,70.05,71.23,1.1800000000000068,1.1800000000000068
123,70.41,70.68,0.27000000000001023,0.27000000000001023
124,70.8,71.69,0.8900000000000006,0.8900000000000006
125,70.85,70.72,-0.12999999999999545,0.12999999999999545
126,70.8,71.36,0.5600000000000023,0.5600000000000023
127,71.19,70.76,-0.4299999999999926,0.4299999999999926
128,71.03,70.69,-0.3400000000000034,0.3400000000000034
129,71.38,70.7,-0.6799999999999926,0.6799999999999926
130,70.63,70.67,0.04000000000000625,0.04000000000000625
131,71.23,71.1,-0.13000000000000966,0.13000000000000966
132,71.13,71.28,0.15000000000000568,0.15000000000000568
133,70.8,70.85,0.04999999999999716,0.04999999999999716
134,70.86,70.72,-0.14000000000000057,0.14000000000000057
135,70.8,70.9,0.10000000000000853,0.10000000000000853
136,70.99,70.9,-0.0899999999999892,0.0899999999999892
137,70.66,70.37,-0.28999999999999204,0.28999999999999204
138,71.18,70.53,-0.6500000000000057,0.6500000000000057
139,70.37,70.78,0.4099999999999966,0.4099999999999966
140,70.9,70.87,-0.030000000000001137,0.030000000000001137
141,70.52,70.52,0.0,0.0
142,70.47,70.92,0.45000000000000284,0.45000000000000284
143,70.45,71.48,1.0300000000000011,1.0300000000000011
144,70.87,70.85,-0.020000000000010232,0.020000000000010232
145,71.22,70.68,-0.539999999999992,0.539999999999992
146,71.31,71.14,-0.1700000000000017,0.1700000000000017
147,70.69,70.97,0.28000000000000114,0.28000000000000114
148,71.01,70.59,-0.4200000000000017,0.4200000000000017
149,71.12,70.41,-0.710000000000008,0.710000000000008
150,71.08,70.6,-0.480000000000004,0.480000000000004
151,70.98,70.99,0.009999999999990905,0.009999999999990905
152,71.02,71.43,0.4100000000000108,0.4100000000000108
