Frame,Z1,Z2,Delta_Z,Abs_Delta_Z
1,73.21,73.34,0.13000000000000966,0.13000000000000966
2,73.07,73.3,0.23000000000000398,0.23000000000000398
3,72.81,73.94,1.1299999999999955,1.1299999999999955
4,71.66,74.06,2.4000000000000057,2.4000000000000057
5,72.85,74.18,1.3300000000000125,1.3300000000000125
6,71.76,73.7,1.9399999999999977,1.9399999999999977
7,72.27,73.84,1.5700000000000074,1.5700000000000074
8,72.71,73.76,1.0500000000000114,1.0500000000000114
9,72.04,73.79,1.75,1.75
10,72.33,73.48,1.1500000000000057,1.1500000000000057
11,72.03,73.74,1.7099999999999937,1.7099999999999937
12,72.98,73.66,0.6799999999999926,0.6799999999999926
13,73.03,73.57,0.539999999999992,0.539999999999992
14,72.05,74.33,2.280000000000001,2.280000000000001
15,73.42,73.79,0.37000000000000455,0.37000000000000455
16,73.31,74.09,0.7800000000000011,0.7800000000000011
17,73.61,73.6,-0.010000000000005116,0.010000000000005116
18,74.0,74.08,0.0799999999999983,0.0799999999999983
19,73.84,74.36,0.519999999999996,0.519999999999996
20,73.22,74.23,1.0100000000000051,1.0100000000000051
21,72.93,74.3,1.3699999999999903,1.3699999999999903
22,74.1,73.85,-0.25,0.25
23,73.43,74.49,1.059999999999988,1.059999999999988
24,73.58,74.13,0.5499999999999972,0.5499999999999972
25,74.54,73.97,-0.5700000000000074,0.5700000000000074
26,74.74,73.95,-0.789999999999992,0.789999999999992
27,73.92,73.96,0.03999999999999204,0.03999999999999204
28,74.11,74.01,-0.09999999999999432,0.09999999999999432
29,74.45,73.65,-0.7999999999999972,0.7999999999999972
30,74.33,74.06,-0.269999999999996,0.269999999999996
31,74.47,74.28,-0.18999999999999773,0.18999999999999773
32,74.1,73.96,-0.14000000000000057,0.14000000000000057
33,73.51,74.16,0.6499999999999915,0.6499999999999915
34,74.42,74.39,-0.030000000000001137,0.030000000000001137
35,74.56,74.21,-0.3500000000000085,0.3500000000000085
36,74.52,73.85,-0.6700000000000017,0.6700000000000017
37,74.51,73.94,-0.5700000000000074,0.5700000000000074
38,74.7,74.15,-0.5499999999999972,0.5499999999999972
39,74.29,73.97,-0.3200000000000074,0.3200000000000074
40,74.16,74.26,0.10000000000000853,0.10000000000000853
41,73.55,74.6,1.0499999999999972,1.0499999999999972
42,73.75,73.67,-0.0799999999999983,0.0799999999999983
43,73.93,73.98,0.04999999999999716,0.04999999999999716
44,73.76,74.23,0.46999999999999886,0.46999999999999886
45,73.11,73.75,0.6400000000000006,0.6400000000000006
46,73.25,73.97,0.7199999999999989,0.7199999999999989
47,73.25,74.41,1.1599999999999966,1.1599999999999966
48,73.68,74.68,1.0,1.0
49,74.55,74.42,-0.12999999999999545,0.12999999999999545
50,72.62,74.33,1.7099999999999937,1.7099999999999937
51,73.41,74.47,1.0600000000000023,1.0600000000000023
52,72.92,74.75,1.8299999999999983,1.8299999999999983
53,73.61,74.55,0.9399999999999977,0.9399999999999977
54,73.18,73.8,0.6199999999999903,0.6199999999999903
55,73.57,74.29,0.7200000000000131,0.7200000000000131
56,74.15,73.61,-0.5400000000000063,0.5400000000000063
57,72.95,74.17,1.2199999999999989,1.2199999999999989
58,73.44,74.06,0.6200000000000045,0.6200000000000045
59,72.78,73.98,1.2000000000000028,1.2000000000000028
60,73.2,74.55,1.3499999999999943,1.3499999999999943
61,73.29,74.42,1.1299999999999955,1.1299999999999955
62,73.64,73.53,-0.10999999999999943,0.10999999999999943
63,72.66,73.76,1.1000000000000085,1.1000000000000085
64,72.92,73.84,0.9200000000000017,0.9200000000000017
65,72.94,74.25,1.3100000000000023,1.3100000000000023
66,72.02,73.62,1.6000000000000085,1.6000000000000085
67,73.07,73.9,0.8300000000000125,0.8300000000000125
68,73.93,73.95,0.01999999999999602,0.01999999999999602
69,73.14,74.34,1.2000000000000028,1.2000000000000028
70,73.17,74.28,1.1099999999999994,1.1099999999999994
71,73.0,73.91,0.9099999999999966,0.9099999999999966
72,72.2,73.24,1.039999999999992,1.039999999999992
73,73.22,73.97,0.75,0.75
74,72.33,73.6,1.269999999999996,1.269999999999996
75,73.47,73.99,0.519999999999996,0.519999999999996
76,72.7,73.72,1.019999999999996,1.019999999999996
77,73.33,74.06,0.730000000000004,0.730000000000004
78,73.26,73.66,0.3999999999999915,0.3999999999999915
79,73.75,73.47,-0.28000000000000114,0.28000000000000114
80,73.09,73.68,0.5900000000000034,0.5900000000000034
81,73.35,73.95,0.6000000000000085,0.6000000000000085
82,73.7,74.17,0.46999999999999886,0.46999999999999886
83,73.14,74.3,1.1599999999999966,1.1599999999999966
84,73.46,73.47,0.010000000000005116,0.010000000000005116
85,73.18,73.71,0.5299999999999869,0.5299999999999869
86,72.84,73.65,0.8100000000000023,0.8100000000000023
87,73.32,74.37,1.0500000000000114,1.0500000000000114
88,73.93,74.11,0.1799999999999926,0.1799999999999926
89,72.87,74.15,1.2800000000000011,1.2800000000000011
90,73.12,73.97,0.8499999999999943,0.8499999999999943
91,73.53,74.04,0.5100000000000051,0.5100000000000051
92,73.55,74.11,0.5600000000000023,0.5600000000000023
93,73.5,73.53,0.030000000000001137,0.030000000000001137
94,73.3,73.3,0.0,0.0
95,73.69,74.11,0.4200000000000017,0.4200000000000017
96,73.82,74.31,0.4900000000000091,0.4900000000000091
97,73.1,73.68,0.5800000000000125,0.5800000000000125
98,73.84,73.78,-0.060000000000002274,0.060000000000002274
99,73.45,73.57,0.11999999999999034,0.11999999999999034
100,73.61,73.62,0.010000000000005116,0.010000000000005116
101,73.03,74.01,0.980000000000004,0.980000000000004
102,73.35,73.9,0.5500000000000114,0.5500000000000114
103,73.45,73.8,0.3499999999999943,0.3499999999999943
104,72.87,73.94,1.0699999999999932,1.0699999999999932
105,73.14,73.73,0.5900000000000034,0.5900000000000034
106,73.52,74.27,0.75,0.75
107,73.28,74.11,0.8299999999999983,0.8299999999999983
108,73.55,73.79,0.2400000000000091,0.2400000000000091
109,73.52,74.09,0.5700000000000074,0.5700000000000074
110,73.31,74.56,1.25,1.25
111,73.12,74.22,1.0999999999999943,1.0999999999999943
112,73.61,74.18,0.5700000000000074,0.5700000000000074
113,73.94,73.93,-0.009999999999990905,0.009999999999990905
