Frame,Z1,Z2,Delta_Z,Abs_Delta_Z
1,71.4,71.89,0.4899999999999949,0.4899999999999949
2,71.38,71.59,0.21000000000000796,0.21000000000000796
3,72.33,72.01,-0.3199999999999932,0.3199999999999932
4,71.41,72.31,0.9000000000000057,0.9000000000000057
5,71.83,71.99,0.1599999999999966,0.1599999999999966
6,72.21,72.15,-0.05999999999998806,0.05999999999998806
7,71.52,71.12,-0.3999999999999915,0.3999999999999915
8,72.14,71.65,-0.4899999999999949,0.4899999999999949
9,71.8,71.96,0.1599999999999966,0.1599999999999966
10,71.49,72.37,0.8800000000000097,0.8800000000000097
11,71.84,72.35,0.5099999999999909,0.5099999999999909
12,71.06,72.03,0.9699999999999989,0.9699999999999989
13,72.1,72.13,0.030000000000001137,0.030000000000001137
14,71.72,72.23,0.5100000000000051,0.5100000000000051
15,71.9,71.87,-0.030000000000001137,0.030000000000001137
16,71.38,71.78,0.4000000000000057,0.4000000000000057
17,71.35,72.28,0.9300000000000068,0.9300000000000068
18,71.71,72.87,1.1600000000000108,1.1600000000000108
19,71.43,72.06,0.6299999999999955,0.6299999999999955
20,71.88,72.26,0.38000000000000966,0.38000000000000966
21,71.67,72.85,1.1799999999999926,1.1799999999999926
22,71.34,71.67,0.3299999999999983,0.3299999999999983
23,71.86,72.4,0.5400000000000063,0.5400000000000063
24,72.01,71.6,-0.4100000000000108,0.4100000000000108
25,71.98,71.96,-0.020000000000010232,0.020000000000010232
26,72.1,72.36,0.2600000000000051,0.2600000000000051
27,71.69,72.21,0.519999999999996,0.519999999999996
28,72.18,72.44,0.2599999999999909,0.2599999999999909
29,72.62,71.72,-0.9000000000000057,0.9000000000000057
30,72.17,71.77,-0.4000000000000057,0.4000000000000057
31,71.98,71.97,-0.010000000000005116,0.010000000000005116
32,71.44,71.11,-0.3299999999999983,0.3299999999999983
33,71.68,71.64,-0.04000000000000625,0.04000000000000625
34,72.06,71.55,-0.5100000000000051,0.5100000000000051
35,72.19,71.55,-0.6400000000000006,0.6400000000000006
36,71.63,71.89,0.2600000000000051,0.2600000000000051
37,72.34,72.41,0.06999999999999318,0.06999999999999318
38,71.96,71.88,-0.0799999999999983,0.0799999999999983
39,71.51,71.23,-0.28000000000000114,0.28000000000000114
40,72.11,71.86,-0.25,0.25
41,71.94,71.61,-0.3299999999999983,0.3299999999999983
42,72.52,71.51,-1.009999999999991,1.009999999999991
43,72.05,71.83,-0.21999999999999886,0.21999999999999886
44,72.1,72.07,-0.030000000000001137,0.030000000000001137
45,72.27,71.67,-0.5999999999999943,0.5999999999999943
46,72.92,72.23,-0.6899999999999977,0.6899999999999977
47,71.9,71.66,-0.2400000000000091,0.2400000000000091
48,71.54,71.59,0.04999999999999716,0.04999999999999716
49,72.18,71.93,-0.25,0.25
50,71.47,71.76,0.29000000000000625,0.29000000000000625
51,71.9,71.64,-0.2600000000000051,0.2600000000000051
52,72.19,71.7,-0.4899999999999949,0.4899999999999949
53,71.7,71.33,-0.37000000000000455,0.37000000000000455
54,71.53,71.32,-0.21000000000000796,0.21000000000000796
55,72.14,71.53,-0.6099999999999994,0.6099999999999994
56,71.24,71.33,0.09000000000000341,0.09000000000000341
57,71.97,71.58,-0.39000000000000057,0.39000000000000057
58,71.66,71.77,0.10999999999999943,0.10999999999999943
59,72.55,71.66,-0.8900000000000006,0.8900000000000006
60,71.92,72.12,0.20000000000000284,0.20000000000000284
61,71.82,72.11,0.29000000000000625,0.29000000000000625
62,71.58,72.21,0.6299999999999955,0.6299999999999955
63,72.03,71.69,-0.3400000000000034,0.3400000000000034
64,71.45,72.06,0.6099999999999994,0.6099999999999994
65,71.94,72.41,0.46999999999999886,0.46999999999999886
66,71.63,72.1,0.46999999999999886,0.46999999999999886
67,72.83,72.05,-0.7800000000000011,0.7800000000000011
68,72.26,71.51,-0.75,0.75
69,71.76,71.72,-0.04000000000000625,0.04000000000000625
70,71.98,71.61,-0.37000000000000455,0.37000000000000455
71,71.72,72.38,0.6599999999999966,0.6599999999999966
72,71.47,72.09,0.6200000000000045,0.6200000000000045
73,71.11,72.46,1.3499999999999943,1.3499999999999943
74,71.53,71.96,0.4299999999999926,0.4299999999999926
75,71.68,72.08,0.3999999999999915,0.3999999999999915
76,71.39,72.25,0.8599999999999994,0.8599999999999994
77,71.98,72.15,0.1700000000000017,0.1700000000000017
78,71.42,72.38,0.9599999999999937,0.9599999999999937
79,71.73,72.25,0.519999999999996,0.519999999999996
80,71.76,72.38,0.6199999999999903,0.6199999999999903
81,70.88,72.7,1.8200000000000074,1.8200000000000074
82,71.7,72.33,0.6299999999999955,0.6299999999999955
83,71.08,73.09,2.010000000000005,2.010000000000005
84,70.69,73.1,2.4099999999999966,2.4099999999999966
85,70.62,72.85,2.2299999999999898,2.2299999999999898
86,71.64,72.32,0.6799999999999926,0.6799999999999926
87,72.1,72.39,0.29000000000000625,0.29000000000000625
88,71.67,72.78,1.1099999999999994,1.1099999999999994
89,71.49,72.67,1.1800000000000068,1.1800000000000068
90,72.7,72.18,-0.519999999999996,0.519999999999996
91,71.39,72.68,1.2900000000000063,1.2900000000000063
92,71.81,72.55,0.7399999999999949,0.7399999999999949
93,71.46,72.13,0.6700000000000017,0.6700000000000017
94,71.4,72.7,1.2999999999999972,1.2999999999999972
95,71.46,72.94,1.480000000000004,1.480000000000004
96,71.41,72.65,1.240000000000009,1.240000000000009
97,72.06,72.86,0.7999999999999972,0.7999999999999972
98,71.44,72.55,1.1099999999999994,1.1099999999999994
99,71.57,72.78,1.210000000000008,1.210000000000008
100,71.3,72.91,1.6099999999999994,1.6099999999999994
101,71.76,72.5,0.7399999999999949,0.7399999999999949
102,72.23,72.54,0.3100000000000023,0.3100000000000023
103,71.84,72.69,0.8499999999999943,0.8499999999999943
104,71.61,72.71,1.0999999999999943,1.0999999999999943
105,72.33,72.67,0.3400000000000034,0.3400000000000034
106,71.95,72.36,0.4099999999999966,0.4099999999999966
107,71.3,72.14,0.8400000000000034,0.8400000000000034
108,71.93,72.13,0.19999999999998863,0.19999999999998863
109,71.32,72.5,1.1800000000000068,1.1800000000000068
110,71.31,72.21,0.8999999999999915,0.8999999999999915
111,71.17,72.13,0.9599999999999937,0.9599999999999937
112,71.68,71.95,0.269999999999996,0.269999999999996
113,71.52,71.49,-0.030000000000001137,0.030000000000001137
114,72.08,72.36,0.28000000000000114,0.28000000000000114
115,72.21,72.04,-0.1699999999999875,0.1699999999999875
116,72.25,71.84,-0.4099999999999966,0.4099999999999966
117,71.39,72.76,1.3700000000000045,1.3700000000000045
118,71.86,71.98,0.12000000000000455,0.12000000000000455
119,72.02,72.1,0.0799999999999983,0.0799999999999983
120,71.46,72.5,1.0400000000000063,1.0400000000000063
121,71.82,71.5,-0.3199999999999932,0.3199999999999932
122,71.92,71.83,-0.09000000000000341,0.09000000000000341
123,71.53,72.01,0.480000000000004,0.480000000000004
124,71.11,72.51,1.4000000000000057,1.4000000000000057
125,71.02,71.99,0.9699999999999989,0.9699999999999989
126,71.27,72.25,0.980000000000004,0.980000000000004
127,71.72,71.93,0.21000000000000796,0.21000000000000796
